alpha,beta,gamma,n_a,run_id,seed,status,final_alive,final_necrotic,final_total,total_metastatic,total_oxygen_consumed,fitness,mei,ncf,dissipation
0.3,0.4,-0.2,500.0,43,43,ok,0,0,0,0,3.62,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,500.0,44,44,ok,15,6,21,7,56.3814,0.24864016,0.33333333,0.28571429,4.69180806
0.3,0.4,-0.2,500.0,45,45,ok,0,0,0,0,2.3923,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,500.0,46,46,ok,0,0,0,0,2.2274,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,500.0,47,47,ok,0,0,0,0,0.4568,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,500.0,48,48,ok,0,0,0,0,1.2872,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,500.0,49,49,ok,0,0,0,0,1.3486,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,500.0,50,50,ok,0,0,0,1,12.2249,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,500.0,51,51,ok,0,0,0,2,7.0122,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,500.0,52,52,ok,0,0,0,0,0.4568,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,500.0,53,53,ok,0,0,0,0,0.6039,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,500.0,54,54,ok,27,3,30,6,70.1715,0.36299189,0.2,0.1,3.41189885
0.3,0.4,-0.2,500.0,55,55,ok,0,0,0,1,2.9473,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,500.0,56,56,ok,0,0,0,0,0.1545,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,500.0,57,57,ok,0,2,2,5,27.1507,0.0,2.5,1.0,18.71497388
0.3,0.4,-0.2,500.0,58,58,ok,0,2,2,2,22.2552,0.0,1.0,1.0,8.31776617
0.3,0.4,-0.2,500.0,59,59,ok,10,0,10,2,34.0603,0.28783991,0.2,0.0,2.04938933
0.3,0.4,-0.2,500.0,60,60,ok,0,0,0,0,0.1545,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,500.0,61,61,ok,0,0,0,0,3.2648,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,500.0,62,62,ok,10,2,12,2,35.5754,0.27558124,0.16666667,0.16666667,2.36196997
0.3,0.4,-0.2,500.0,63,63,ok,0,0,0,1,8.2362,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,500.0,64,64,ok,0,0,0,0,0.3069,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,500.0,65,65,ok,2,0,2,2,17.0839,0.11477396,1.0,0.0,4.15888308
0.3,0.4,-0.2,500.0,66,66,ok,0,0,0,0,0.3069,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,500.0,67,67,ok,38,5,43,14,80.3686,0.41475572,0.3255814,0.11627907,5.11762822
0.3,0.4,-0.2,500.0,68,68,ok,0,0,0,0,0.8886,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,500.0,69,69,ok,0,0,0,0,1.1584,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,500.0,70,70,ok,3,4,7,3,35.9416,0.08103764,0.42857143,0.57142857,4.34064623
0.3,0.4,-0.2,500.0,71,71,ok,17,2,19,9,45.421,0.34337277,0.47368421,0.10526316,4.91110868
0.3,0.4,-0.2,500.0,72,72,ok,0,0,0,0,0.1545,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,500.0,73,73,ok,17,10,27,11,108.4186,0.141261,0.40740741,0.37037037,6.22588469
0.3,0.4,-0.2,500.0,74,74,ok,0,0,0,0,0.8886,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,500.0,75,75,ok,0,0,0,0,1.7619,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,500.0,76,76,ok,0,0,0,0,0.6039,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,500.0,77,77,ok,0,4,4,3,35.194,0.0,0.75,1.0,6.58489822
0.3,0.4,-0.2,500.0,78,78,ok,0,0,0,0,1.9795,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,500.0,79,79,ok,0,0,0,0,0.6114,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,500.0,80,80,ok,0,0,0,0,0.1545,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,500.0,81,81,ok,6,4,10,0,49.069,0.12227685,0.0,0.4,1.43457253
0.3,0.4,-0.2,500.0,82,82,ok,0,0,0,2,4.8268,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,500.0,83,83,ok,30,7,37,11,97.343,0.27764733,0.2972973,0.18918919,4.91619578
0.3,0.4,-0.2,500.0,84,84,ok,11,5,16,6,66.327,0.15645748,0.375,0.3125,4.66586453
0.3,0.4,-0.2,500.0,85,85,ok,11,6,17,6,50.3323,0.2061769,0.35294118,0.35294118,4.73301945
0.3,0.4,-0.2,500.0,86,86,ok,0,0,0,1,2.532,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,500.0,87,87,ok,0,0,0,0,1.7982,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,500.0,88,88,ok,0,0,0,0,0.748,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,500.0,89,89,ok,0,0,0,0,0.4568,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,500.0,90,90,ok,0,0,0,0,0.748,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,500.0,91,91,ok,0,0,0,0,1.4117,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,500.0,92,92,ok,0,0,0,0,1.2094,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,500.0,93,93,ok,0,0,0,0,0.748,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,500.0,94,94,ok,0,0,0,0,0.4568,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,500.0,95,95,ok,0,0,0,1,11.4371,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,500.0,96,96,ok,0,0,0,0,0.8886,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,500.0,97,97,ok,0,0,0,0,2.9642,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,500.0,98,98,ok,0,0,0,0,0.3069,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,500.0,99,99,ok,0,0,0,0,2.3923,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,750.0,0,0,ok,0,0,0,0,0.4615,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,750.0,1,1,ok,5,3,8,7,26.199,0.17836143,0.875,0.375,6.88735139
0.3,0.4,-0.2,750.0,2,2,ok,17,0,17,6,34.6222,0.46322125,0.35294118,0.0,3.49831871
0.3,0.4,-0.2,750.0,3,3,ok,0,0,0,0,4.5926,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,750.0,4,4,ok,0,0,0,0,0.4568,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,750.0,5,5,ok,0,0,0,0,0.6039,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,750.0,6,6,ok,7,3,10,3,60.3404,0.11262958,0.3,0.3,3.33025766
0.3,0.4,-0.2,750.0,7,7,ok,0,0,0,1,16.5322,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,750.0,8,8,ok,0,0,0,0,1.1584,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,750.0,9,9,ok,0,0,0,0,1.6363,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,750.0,10,10,ok,15,8,23,12,80.0663,0.16727209,0.52173913,0.34782609,6.87755745
0.3,0.4,-0.2,750.0,11,11,ok,0,0,0,0,0.4568,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,750.0,12,12,ok,0,0,0,1,11.7448,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,750.0,13,13,ok,0,0,0,0,1.0594,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,750.0,14,14,ok,0,0,0,0,3.4358,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,750.0,15,15,ok,0,0,0,0,0.4568,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,750.0,16,16,ok,0,0,0,0,1.2059,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,750.0,17,17,ok,0,0,0,0,2.5033,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,750.0,18,18,ok,0,0,0,0,1.3451,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,750.0,19,19,ok,0,0,0,0,4.0971,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,750.0,20,20,ok,18,8,26,10,105.9385,0.1544635,0.38461538,0.30769231,5.64377689
0.3,0.4,-0.2,750.0,21,21,ok,0,0,0,0,0.4568,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,750.0,22,22,ok,15,3,18,7,43.2629,0.32403464,0.38888889,0.16666667,4.44117921
0.3,0.4,-0.2,750.0,23,23,ok,0,4,4,3,23.0673,0.0,0.75,1.0,6.58489822
0.3,0.4,-0.2,750.0,24,24,ok,0,0,0,0,2.1997,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,750.0,25,25,ok,0,0,0,0,0.1545,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,750.0,26,26,ok,0,0,0,0,5.5438,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,750.0,27,27,ok,0,2,2,2,22.8958,0.0,1.0,1.0,8.31776617
0.3,0.4,-0.2,750.0,28,28,ok,0,0,0,0,0.4568,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,750.0,29,29,ok,0,0,0,0,0.7585,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,750.0,30,30,ok,5,4,9,2,68.2007,0.07187556,0.22222222,0.44444444,2.98911246
0.3,0.4,-0.2,750.0,31,31,ok,0,0,0,0,0.9109,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,750.0,32,32,ok,0,0,0,0,2.1887,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,750.0,33,33,ok,8,4,12,5,61.6181,0.12364943,0.41666667,0.33333333,4.5398903
0.3,0.4,-0.2,750.0,34,34,ok,0,0,0,0,2.4431,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,750.0,35,35,ok,0,0,0,0,0.7637,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,750.0,36,36,ok,42,10,52,8,156.8367,0.24795783,0.15384615,0.19230769,3.90303186
0.3,0.4,-0.2,750.0,37,37,ok,0,0,0,0,0.3069,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,750.0,38,38,ok,0,0,0,0,1.465,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,750.0,39,39,ok,8,4,12,4,43.0639,0.17862525,0.33333333,0.33333333,3.92639156
0.3,0.4,-0.2,750.0,40,40,ok,0,0,0,0,0.4568,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,750.0,41,41,ok,0,0,0,0,2.6957,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,750.0,42,42,ok,0,0,0,0,1.2047,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,750.0,43,43,ok,0,0,0,0,3.62,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,750.0,44,44,ok,15,6,21,7,56.3814,0.24864016,0.33333333,0.28571429,4.69180806
0.3,0.4,-0.2,750.0,45,45,ok,0,0,0,0,2.3923,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,750.0,46,46,ok,0,0,0,0,2.2274,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,750.0,47,47,ok,0,0,0,0,0.4568,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,750.0,48,48,ok,0,0,0,0,1.2872,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,750.0,49,49,ok,0,0,0,0,1.3486,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,750.0,50,50,ok,0,0,0,1,12.2249,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,750.0,51,51,ok,0,0,0,2,7.0122,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,750.0,52,52,ok,0,0,0,0,0.4568,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,750.0,53,53,ok,0,0,0,0,0.6039,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,750.0,54,54,ok,27,3,30,6,70.1715,0.36299189,0.2,0.1,3.41189885
0.3,0.4,-0.2,750.0,55,55,ok,0,0,0,1,2.9473,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,750.0,56,56,ok,0,0,0,0,0.1545,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,750.0,57,57,ok,0,2,2,5,27.1507,0.0,2.5,1.0,18.71497388
0.3,0.4,-0.2,750.0,58,58,ok,0,2,2,2,22.2552,0.0,1.0,1.0,8.31776617
0.3,0.4,-0.2,750.0,59,59,ok,10,0,10,2,34.0603,0.28783991,0.2,0.0,2.04938933
0.3,0.4,-0.2,750.0,60,60,ok,0,0,0,0,0.1545,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,750.0,61,61,ok,0,0,0,0,3.2648,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,750.0,62,62,ok,10,2,12,2,35.5754,0.27558124,0.16666667,0.16666667,2.36196997
0.3,0.4,-0.2,750.0,63,63,ok,0,0,0,1,8.2362,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,750.0,64,64,ok,0,0,0,0,0.3069,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,750.0,65,65,ok,2,0,2,2,17.0839,0.11477396,1.0,0.0,4.15888308
0.3,0.4,-0.2,750.0,66,66,ok,0,0,0,0,0.3069,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,750.0,67,67,ok,38,5,43,14,80.3686,0.41475572,0.3255814,0.11627907,5.11762822
0.3,0.4,-0.2,750.0,68,68,ok,0,0,0,0,0.8886,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,750.0,69,69,ok,0,0,0,0,1.1584,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,750.0,70,70,ok,3,4,7,3,35.9416,0.08103764,0.42857143,0.57142857,4.34064623
0.3,0.4,-0.2,750.0,71,71,ok,17,2,19,9,45.421,0.34337277,0.47368421,0.10526316,4.91110868
0.3,0.4,-0.2,750.0,72,72,ok,0,0,0,0,0.1545,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,750.0,73,73,ok,17,10,27,11,108.4186,0.141261,0.40740741,0.37037037,6.22588469
0.3,0.4,-0.2,750.0,74,74,ok,0,0,0,0,0.8886,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,750.0,75,75,ok,0,0,0,0,1.7619,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,750.0,76,76,ok,0,0,0,0,0.6039,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,750.0,77,77,ok,0,4,4,3,35.194,0.0,0.75,1.0,6.58489822
0.3,0.4,-0.2,750.0,78,78,ok,0,0,0,0,1.9795,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,750.0,79,79,ok,0,0,0,0,0.6114,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,750.0,80,80,ok,0,0,0,0,0.1545,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,750.0,81,81,ok,6,4,10,0,49.069,0.12227685,0.0,0.4,1.43457253
0.3,0.4,-0.2,750.0,82,82,ok,0,0,0,2,4.8268,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,750.0,83,83,ok,30,7,37,11,97.343,0.27764733,0.2972973,0.18918919,4.91619578
0.3,0.4,-0.2,750.0,84,84,ok,11,5,16,6,66.327,0.15645748,0.375,0.3125,4.66586453
0.3,0.4,-0.2,750.0,85,85,ok,11,6,17,6,50.3323,0.2061769,0.35294118,0.35294118,4.73301945
0.3,0.4,-0.2,750.0,86,86,ok,0,0,0,1,2.532,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,750.0,87,87,ok,0,0,0,0,1.7982,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,750.0,88,88,ok,0,0,0,0,0.748,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,750.0,89,89,ok,0,0,0,0,0.4568,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,750.0,90,90,ok,0,0,0,0,0.748,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,750.0,91,91,ok,0,0,0,0,1.4117,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,750.0,92,92,ok,0,0,0,0,1.2094,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,750.0,93,93,ok,0,0,0,0,0.748,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,750.0,94,94,ok,0,0,0,0,0.4568,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,750.0,95,95,ok,0,0,0,1,11.4371,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,750.0,96,96,ok,0,0,0,0,0.8886,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,750.0,97,97,ok,0,0,0,0,2.9642,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,750.0,98,98,ok,0,0,0,0,0.3069,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,750.0,99,99,ok,0,0,0,0,2.3923,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,1000.0,0,0,ok,0,0,0,0,0.4615,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,1000.0,1,1,ok,5,3,8,7,26.199,0.17836143,0.875,0.375,6.88735139
0.3,0.4,-0.2,1000.0,2,2,ok,17,0,17,6,34.6222,0.46322125,0.35294118,0.0,3.49831871
0.3,0.4,-0.2,1000.0,3,3,ok,0,0,0,0,4.5926,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,1000.0,4,4,ok,0,0,0,0,0.4568,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,1000.0,5,5,ok,0,0,0,0,0.6039,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,1000.0,6,6,ok,7,3,10,3,60.3404,0.11262958,0.3,0.3,3.33025766
0.3,0.4,-0.2,1000.0,7,7,ok,0,0,0,1,16.5322,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,1000.0,8,8,ok,0,0,0,0,1.1584,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,1000.0,9,9,ok,0,0,0,0,1.6363,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,1000.0,10,10,ok,15,8,23,12,80.0663,0.16727209,0.52173913,0.34782609,6.87755745
0.3,0.4,-0.2,1000.0,11,11,ok,0,0,0,0,0.4568,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,1000.0,12,12,ok,0,0,0,1,11.7448,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,1000.0,13,13,ok,0,0,0,0,1.0594,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,1000.0,14,14,ok,0,0,0,0,3.4358,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,1000.0,15,15,ok,0,0,0,0,0.4568,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,1000.0,16,16,ok,0,0,0,0,1.2059,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,1000.0,17,17,ok,0,0,0,0,2.5033,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,1000.0,18,18,ok,0,0,0,0,1.3451,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,1000.0,19,19,ok,0,0,0,0,4.0971,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,1000.0,20,20,ok,18,8,26,10,105.9385,0.1544635,0.38461538,0.30769231,5.64377689
0.3,0.4,-0.2,1000.0,21,21,ok,0,0,0,0,0.4568,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,1000.0,22,22,ok,15,3,18,7,43.2629,0.32403464,0.38888889,0.16666667,4.44117921
0.3,0.4,-0.2,1000.0,23,23,ok,0,4,4,3,23.0673,0.0,0.75,1.0,6.58489822
0.3,0.4,-0.2,1000.0,24,24,ok,0,0,0,0,2.1997,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,1000.0,25,25,ok,0,0,0,0,0.1545,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,1000.0,26,26,ok,0,0,0,0,5.5438,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,1000.0,27,27,ok,0,2,2,2,22.8958,0.0,1.0,1.0,8.31776617
0.3,0.4,-0.2,1000.0,28,28,ok,0,0,0,0,0.4568,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,1000.0,29,29,ok,0,0,0,0,0.7585,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,1000.0,30,30,ok,5,4,9,2,68.2007,0.07187556,0.22222222,0.44444444,2.98911246
0.3,0.4,-0.2,1000.0,31,31,ok,0,0,0,0,0.9109,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,1000.0,32,32,ok,0,0,0,0,2.1887,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,1000.0,33,33,ok,8,4,12,5,61.6181,0.12364943,0.41666667,0.33333333,4.5398903
0.3,0.4,-0.2,1000.0,34,34,ok,0,0,0,0,2.4431,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,1000.0,35,35,ok,0,0,0,0,0.7637,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,1000.0,36,36,ok,42,10,52,8,156.8367,0.24795783,0.15384615,0.19230769,3.90303186
0.3,0.4,-0.2,1000.0,37,37,ok,0,0,0,0,0.3069,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,1000.0,38,38,ok,0,0,0,0,1.465,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,1000.0,39,39,ok,8,4,12,4,43.0639,0.17862525,0.33333333,0.33333333,3.92639156
0.3,0.4,-0.2,1000.0,40,40,ok,0,0,0,0,0.4568,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,1000.0,41,41,ok,0,0,0,0,2.6957,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,1000.0,42,42,ok,0,0,0,0,1.2047,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,1000.0,43,43,ok,0,0,0,0,3.62,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,1000.0,44,44,ok,15,6,21,7,56.3814,0.24864016,0.33333333,0.28571429,4.69180806
0.3,0.4,-0.2,1000.0,45,45,ok,0,0,0,0,2.3923,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,1000.0,46,46,ok,0,0,0,0,2.2274,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,1000.0,47,47,ok,0,0,0,0,0.4568,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,1000.0,48,48,ok,0,0,0,0,1.2872,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,1000.0,49,49,ok,0,0,0,0,1.3486,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,1000.0,50,50,ok,0,0,0,1,12.2249,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,1000.0,51,51,ok,0,0,0,2,7.0122,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,1000.0,52,52,ok,0,0,0,0,0.4568,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,1000.0,53,53,ok,0,0,0,0,0.6039,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,1000.0,54,54,ok,27,3,30,6,70.1715,0.36299189,0.2,0.1,3.41189885
0.3,0.4,-0.2,1000.0,55,55,ok,0,0,0,1,2.9473,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,1000.0,56,56,ok,0,0,0,0,0.1545,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,1000.0,57,57,ok,0,2,2,5,27.1507,0.0,2.5,1.0,18.71497388
0.3,0.4,-0.2,1000.0,58,58,ok,0,2,2,2,22.2552,0.0,1.0,1.0,8.31776617
0.3,0.4,-0.2,1000.0,59,59,ok,10,0,10,2,34.0603,0.28783991,0.2,0.0,2.04938933
0.3,0.4,-0.2,1000.0,60,60,ok,0,0,0,0,0.1545,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,1000.0,61,61,ok,0,0,0,0,3.2648,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,1000.0,62,62,ok,10,2,12,2,35.5754,0.27558124,0.16666667,0.16666667,2.36196997
0.3,0.4,-0.2,1000.0,63,63,ok,0,0,0,1,8.2362,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,1000.0,64,64,ok,0,0,0,0,0.3069,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,1000.0,65,65,ok,2,0,2,2,17.0839,0.11477396,1.0,0.0,4.15888308
0.3,0.4,-0.2,1000.0,66,66,ok,0,0,0,0,0.3069,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,1000.0,67,67,ok,38,5,43,14,80.3686,0.41475572,0.3255814,0.11627907,5.11762822
0.3,0.4,-0.2,1000.0,68,68,ok,0,0,0,0,0.8886,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,1000.0,69,69,ok,0,0,0,0,1.1584,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,1000.0,70,70,ok,3,4,7,3,35.9416,0.08103764,0.42857143,0.57142857,4.34064623
0.3,0.4,-0.2,1000.0,71,71,ok,17,2,19,9,45.421,0.34337277,0.47368421,0.10526316,4.91110868
0.3,0.4,-0.2,1000.0,72,72,ok,0,0,0,0,0.1545,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,1000.0,73,73,ok,17,10,27,11,108.4186,0.141261,0.40740741,0.37037037,6.22588469
0.3,0.4,-0.2,1000.0,74,74,ok,0,0,0,0,0.8886,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,1000.0,75,75,ok,0,0,0,0,1.7619,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,1000.0,76,76,ok,0,0,0,0,0.6039,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,1000.0,77,77,ok,0,4,4,3,35.194,0.0,0.75,1.0,6.58489822
0.3,0.4,-0.2,1000.0,78,78,ok,0,0,0,0,1.9795,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,1000.0,79,79,ok,0,0,0,0,0.6114,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,1000.0,80,80,ok,0,0,0,0,0.1545,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,1000.0,81,81,ok,6,4,10,0,49.069,0.12227685,0.0,0.4,1.43457253
0.3,0.4,-0.2,1000.0,82,82,ok,0,0,0,2,4.8268,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,1000.0,83,83,ok,30,7,37,11,97.343,0.27764733,0.2972973,0.18918919,4.91619578
0.3,0.4,-0.2,1000.0,84,84,ok,11,5,16,6,66.327,0.15645748,0.375,0.3125,4.66586453
0.3,0.4,-0.2,1000.0,85,85,ok,11,6,17,6,50.3323,0.2061769,0.35294118,0.35294118,4.73301945
0.3,0.4,-0.2,1000.0,86,86,ok,0,0,0,1,2.532,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,1000.0,87,87,ok,0,0,0,0,1.7982,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,1000.0,88,88,ok,0,0,0,0,0.748,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,1000.0,89,89,ok,0,0,0,0,0.4568,0.0,0.0,0.0,0.69314718
